"time","y","z"
0.0000000000000000E+000,2.0000000000000000E+001,0.0000000000000000E+000
2.0000000000000000E-002,1.9997965557211295E+001,-1.9613300000000000E-001
4.0000000000000001E-002,1.9992084092353068E+001,-3.9226600000000000E-001
6.0000000000000005E-002,1.9982290629996562E+001,-5.8839899999999989E-001
8.0000000000000002E-002,1.9968565473359813E+001,-7.8453199999999990E-001
1.0999999999999999E-001,1.9940616204617488E+001,-1.0787314999999997E+000
1.2999999999999998E-001,1.9917071316060653E+001,-1.2748644999999994E+000
1.4999999999999999E-001,1.9889585709030932E+001,-1.4709974999999995E+000
1.6000000000000000E-001,1.9874361082729131E+001,-1.5690639999999996E+000
1.8000000000000002E-001,1.9840990699258164E+001,-1.7651969999999997E+000
2.0000000000000004E-001,1.9803706915807993E+001,-1.9613300000000000E+000
2.2000000000000006E-001,1.9762515368708840E+001,-2.1574629999999999E+000
2.4000000000000007E-001,1.9717394438913978E+001,-2.3535960000000005E+000
2.6000000000000006E-001,1.9668353902719890E+001,-2.5497290000000001E+000
2.8000000000000008E-001,1.9615393760126583E+001,-2.7458620000000002E+000
3.0000000000000010E-001,1.9558513341042165E+001,-2.9419950000000004E+000
3.2000000000000012E-001,1.9497707872163534E+001,-3.1381280000000005E+000
3.4000000000000014E-001,1.9432980436287508E+001,-3.3342610000000006E+000
3.6000000000000015E-001,1.9364331033414082E+001,-3.5303940000000007E+000
3.8000000000000017E-001,1.9291759663543253E+001,-3.7265270000000008E+000
4.0000000000000019E-001,1.9215266326675028E+001,-3.9226600000000009E+000
4.2000000000000021E-001,1.9134851022809404E+001,-4.1187930000000010E+000
4.4000000000000022E-001,1.9050513153559486E+001,-4.3149260000000007E+000
4.6000000000000024E-001,1.8962252966090443E+001,-4.5110590000000004E+000
4.8000000000000026E-001,1.8870070448934936E+001,-4.7071920000000009E+000
5.0000000000000022E-001,1.8773965552870177E+001,-4.9033250000000006E+000
5.2000000000000024E-001,1.8673938228673386E+001,-5.0994580000000003E+000
5.4000000000000026E-001,1.8569988427121789E+001,-5.2955910000000008E+000
5.6000000000000028E-001,1.8462116098992599E+001,-5.4917240000000005E+000
5.8000000000000029E-001,1.8350321078993055E+001,-5.6878570000000011E+000
6.0000000000000031E-001,1.8234602672437131E+001,-5.8839900000000016E+000
6.2000000000000033E-001,1.8114961561113844E+001,-6.0801230000000022E+000
6.4000000000000035E-001,1.7991397745023196E+001,-6.2762560000000018E+000
6.6000000000000036E-001,1.7863911224165186E+001,-6.4723890000000015E+000
6.8000000000000038E-001,1.7732501998539814E+001,-6.6685220000000021E+000
7.0000000000000040E-001,1.7597170068147079E+001,-6.8646550000000026E+000
7.2000000000000042E-001,1.7457915432986983E+001,-7.0607880000000023E+000
7.4000000000000044E-001,1.7314738093059525E+001,-7.2569210000000028E+000
7.6000000000000045E-001,1.7167638048364704E+001,-7.4530540000000025E+000
7.8000000000000047E-001,1.7016615298902519E+001,-7.6491870000000031E+000
8.0000000000000049E-001,1.6861669844672974E+001,-7.8453200000000027E+000
8.2000000000000051E-001,1.6702801854614549E+001,-8.0414530000000042E+000
8.4000000000000052E-001,1.6540011416070872E+001,-8.2375860000000038E+000
8.6000000000000054E-001,1.6373298376731565E+001,-8.4337190000000035E+000
8.8000000000000056E-001,1.6202662745372827E+001,-8.6298520000000050E+000
9.0000000000000058E-001,1.6028104530770857E+001,-8.8259850000000046E+000
9.2000000000000060E-001,1.5849623741701864E+001,-9.0221180000000043E+000
9.4000000000000061E-001,1.5667220386942043E+001,-9.2182510000000057E+000
9.6000000000000063E-001,1.5480894475267601E+001,-9.4143840000000054E+000
9.8000000000000065E-001,1.5290646015454731E+001,-9.6105170000000051E+000
1.0000000000000007E+000,1.5096475016279646E+001,-9.8066500000000048E+000
1.0200000000000007E+000,1.4898381486518542E+001,-1.0002783000000006E+001
1.0400000000000007E+000,1.4696365434947614E+001,-1.0198916000000006E+001
1.0600000000000007E+000,1.4490426870343075E+001,-1.0395049000000006E+001
1.0800000000000007E+000,1.4280565801481121E+001,-1.0591182000000005E+001
1.1000000000000008E+000,1.4066782237137950E+001,-1.0787315000000007E+001
1.1200000000000008E+000,1.3849076037468258E+001,-1.0983448000000006E+001
1.1400000000000008E+000,1.3627446374469800E+001,-1.1179581000000006E+001
1.1600000000000008E+000,1.3401893953395241E+001,-1.1375714000000007E+001
1.1800000000000008E+000,1.3172418749439904E+001,-1.1571847000000007E+001
1.2000000000000008E+000,1.2939020736194156E+001,-1.1767980000000007E+001
1.2200000000000009E+000,1.2701699885643388E+001,-1.1964113000000008E+001
1.2400000000000009E+000,1.2460456168168037E+001,-1.2160246000000008E+001
