"time","y","z"
0,20,0
0.02,19.99796555721129,-0.196133
0.04,19.99208409235307,-0.392266
0.06,19.98229062999656,-0.5883989999999998
0.08,19.96856547335981,-0.7845319999999999
0.1,19.95091377970413,-0.9806649999999999
0.12,19.9293358104188,-1.176798
0.14,19.90382181831242,-1.372931
0.16,19.87436108272913,-1.569064
0.18,19.84099069925816,-1.765196999999999
0.2,19.80370691580799,-1.96133
0.22,19.76251536870884,-2.157462999999999
0.24,19.71739443891398,-2.353596
0.26,19.66835390271989,-2.549729
0.28,19.61539376012658,-2.745862
0.3,19.55851334104216,-2.941994999999999
0.32,19.49770787216354,-3.138127999999999
0.34,19.43298043628751,-3.334261
0.36,19.36433103341408,-3.530393999999999
0.38,19.29175966354325,-3.726526999999999
0.4,19.21526632667503,-3.922659999999999
0.42,19.13485102280941,-4.118792999999999
0.44,19.05051315355949,-4.314925999999998
0.46,18.96225296609044,-4.511058999999999
0.48,18.87007044893494,-4.707191999999998
0.5,18.77396555287018,-4.903324999999998
0.52,18.67393822867339,-5.099457999999998
0.54,18.56998842712179,-5.295590999999998
0.5600000000000001,18.4621160989926,-5.491723999999999
0.58,18.35032107899306,-5.687856999999997
0.6,18.23460267243713,-5.883989999999998
0.62,18.11496156111385,-6.080122999999999
0.64,17.9913977450232,-6.276255999999998
0.66,17.86391122416519,-6.472388999999999
0.68,17.73250199853982,-6.668521999999999
0.7000000000000001,17.59717006814708,-6.864654999999999
0.72,17.45791543298699,-7.060787999999998
0.74,17.31473809305953,-7.256920999999998
0.76,17.16763804836471,-7.453053999999998
0.78,17.01661529890252,-7.649186999999999
0.8,16.86166984467298,-7.845319999999999
0.8200000000000001,16.70280185461455,-8.041452999999999
0.84,16.54001141607088,-8.237585999999999
0.86,16.37329837673157,-8.433718999999998
0.88,16.20266274537283,-8.629852
0.9,16.02810453077086,-8.825984999999999
0.92,15.84962374170187,-9.022117999999999
0.9400000000000001,15.66722038694205,-9.218250999999999
0.96,15.48089447526761,-9.414383999999998
0.98,15.29064601545474,-9.610516999999998
1,15.09647501627965,-9.806649999999999
1.02,14.89838148651855,-10.002783
1.04,14.69636543494762,-10.198916
1.06,14.49042687034308,-10.395049
1.08,14.28056580148113,-10.591182
1.1,14.06678223713796,-10.787315
1.12,13.84907603746827,-10.983448
1.14,13.62744637446981,-11.179581
1.16,13.40189395339525,-11.375714
1.18,13.17241874943992,-11.571847
1.2,12.93902073619417,-11.76798
1.22,12.7016998856434,-11.964113
1.24,12.46045616816805,-12.160246
1.26,12.21528955254358,-12.356379
1.28,11.96620000594051,-12.552512
1.3,11.71318749392437,-12.748645
1.32,11.45625198045574,-12.944778
1.34,11.19539342789024,-13.140911
1.36,10.9306117969785,-13.337044
1.38,10.66190704686622,-13.533177
1.4,10.38927913509412,-13.72931
1.42,10.11272801759795,-13.925443
1.44,9.832253648708498,-14.121576
1.46,9.547855981151599,-14.317709
1.48,9.259534966048117,-14.513842
1.5,8.967290552913944,-14.709975
1.52,8.67112268966002,-14.906108
1.54,8.371034728472297,-15.102241
1.56,8.067025906469109,-15.298374
1.58,7.759094450206383,-15.494507
1.6,7.447240368550875,-15.69064
1.62,7.131463670369347,-15.886773
1.64,6.811764364528557,-16.082906
1.66,6.488142459895265,-16.279039
1.68,6.160597965336233,-16.475172
1.7,5.829130889718215,-16.671305
1.72,5.493741241907973,-16.867438
1.74,5.154429030772265,-17.063571
1.76,4.811194265177853,-17.259704
1.78,4.464036953991492,-17.455837
1.8,4.112957106079945,-17.65197
1.82,3.757954730309969,-17.848103
1.84,3.399029835548327,-18.044236
1.86,3.036182430661773,-18.240369
1.88,2.669412524517071,-18.436502
1.9,2.298720125980978,-18.632635
1.92,1.924105243920257,-18.828768
1.94,1.54556788720166,-19.024901
1.96,1.16310806469195,-19.221034
1.98,0.7767255785823123,-19.417167
2,0.3864196360200677,-19.6133
2.02,0.005848368731157967,14.85030895635403
2.04,0.300827763039733,14.65417595635403
2.06,0.5919520861240942,14.45804295635403
2.08,0.8791515087641286,14.26190995635404
2.1,1.162427970836971,14.06577695635404
2.12,1.441781717255048,13.86964395635404
2.14,1.71721323878276,13.67351095635404
2.16,1.988722041473191,13.47737795635404
2.18,2.256308219269795,13.28124495635404
2.2,2.519971748834866,13.08511195635404
2.22,2.779712621538958,12.88897895635404
2.24,3.035530846000727,12.69284595635404
2.26,3.287426422220174,12.49671295635404
2.28,3.535399334765815,12.30057995635404
2.3,3.779449592421519,12.10444695635404
2.32,4.019577195191099,11.90831395635404
2.34,4.255782143074568,11.71218095635404
2.36,4.48806443607192,11.51604795635404
2.38,4.716424074029486,11.31991495635404
2.4,4.940861052128798,11.12378195635404
2.42,5.161375372793782,10.92764895635404
2.44,5.377967035615314,10.73151595635404
2.46,5.590636040184275,10.53538295635404
2.48,5.79938238609154,10.33924995635404
