"time","J1_w","J2_w","J3_w","J4_w"
0,10,0,0,0
0.003,9.972181087747552,0.02999986443535909,0,0
0.006,9.946528664463193,0.05999930798965439,0,0
0.009000000000000001,9.923553223747639,0.08999785697622918,0,0
0.012,9.903259264297905,0.1199950710994993,0,0
0.015,9.885536751324622,0.1499904020823002,0,0
0.018,9.870347806629974,0.1799837377522459,0,0
0.021,9.857537436528139,0.2099745491282145,0,0
0.024,9.846995348421466,0.2399625083602742,0,0
0.027,9.8385219002006,0.2699470805512541,0,0
0.03,9.831927027063632,0.2999277579358771,0,0
0.033,9.827016811705922,0.3299042136632563,0,0
0.036,9.823565183454193,0.3598760450329627,0,0
0.039,9.821336973449002,0.3898428362364132,0,0
0.042,9.820072817948052,0.419804018854165,0,0
0.045,9.819503804184546,0.4497592155093488,0,0
0.048,9.819374683746549,0.4797080010054783,0,0
0.051,9.819428533676174,0.5096499562148586,0,0
0.054,9.819393354568998,0.5395846618510033,0,0
0.057,9.819004516852296,0.5695116943519224,0,0
0.06,9.818001255867166,0.5994306252435396,0,0
0.063,9.81613340199571,0.6293410453964764,0,0
0.066,9.813158522145276,0.6592425397093723,0,0
0.06900000000000001,9.80882477826534,0.6891346630162308,0,0
0.07200000000000001,9.802912747290991,0.7190169970924434,0,0
0.075,9.795209936878921,0.7488891097014381,0,0
0.078,9.785519786398238,0.7787505732096393,0,0
0.081,9.773664566582655,0.8086009876579231,0,0
0.08400000000000001,9.75948488319918,0.8384399136180958,0,0
0.08700000000000001,9.742843684738501,0.8682669246996045,0,0
0.09,9.723623588766229,0.89808159514261,0,0
0.093,9.701713886736949,0.9278835042151335,0,0
0.096,9.67705171893623,0.9576722246403553,0,0
0.099,9.64959292089374,0.9874473317574043,0,0
0.102,9.619321695164512,1.017208401236077,0,0
0.105,9.58625087122725,1.04695500919373,0,0
0.108,9.550357266567936,1.07668673418185,0,0
0.111,9.511727603681392,1.106403153106703,0,0
0.114,9.470449580441326,1.136103844491878,0,0
0.117,9.426641730148582,1.165788387742428,0,0
0.12,9.380454543938198,1.195456363236916,0,0
0.123,9.331934495962056,1.225107343172901,0,0
0.126,9.281279649633007,1.25474090882272,0,0
0.129,9.228706749234163,1.284356641585786,0,0
0.132,9.174438195805926,1.313954122126523,0,0
0.135,9.118721400650903,1.34353293169601,0,0
0.138,9.061744654445516,1.37309264835618,0,0
0.141,9.003674606287815,1.4026328486893,0,0
0.144,8.944842156005567,1.43215311620172,0,0
0.147,8.885523307828715,1.461653031458116,0,0
0.15,8.826006240320865,1.491132175125695,0,0
0.153,8.766574109854805,1.52059012804616,0,0
0.156,8.707346820587439,1.550026472132782,0,0
0.159,8.648681590970678,1.579440787998331,0,0
0.162,8.59084524241886,1.608832656843663,0,0
0.165,8.534100723784071,1.638201659922889,0,0
0.168,8.478705283603569,1.667547378525446,0,0
0.171,8.424841637713714,1.696869398829191,0,0
0.174,8.37273024721301,1.726167303587325,0,0
0.177,8.322589568164926,1.755440674867311,0,0
0.18,8.27460363194438,1.784689096256881,0,0
0.183,8.228935998239615,1.813912151698877,0,0
0.186,8.18573740616927,1.843109426058636,0,0
0.189,8.145150385630805,1.87228050552097,0,0
0.192,8.107259588017781,1.901424974944557,0,0
0.195,8.072135485414288,1.930542420449924,0,0
0.198,8.039818886434436,1.959632428690011,0,0
0.201,8.0103188452222,1.98869458687148,0,0
0.204,7.983732417721586,2.017728480138287,0,0
0.207,7.960028394702963,2.046733696229412,0,0
0.21,7.939125534234424,2.075709823761332,0,0
0.213,7.920939324233089,2.10465645119176,0,0
0.216,7.905352383678002,2.133573167436412,0,0
0.219,7.892213054555155,2.162459561875532,0,0
0.222,7.881553175330476,2.191315222736038,0,0
0.225,7.873128517363508,2.22013974049345,0,0
0.228,7.866719557033027,2.248932705638932,0,0
0.231,7.862097970916275,2.277693708923679,0,0
0.234,7.859006422324921,2.3064223415048,0,0
0.237,7.857342866201144,2.335118195168653,0,0
0.24,7.856918856477039,2.36378086203965,0,0
0.243,7.857394633241205,2.392409934502584,0,0
0.246,7.858496602877155,2.421005005466028,0,0
0.249,7.859937652931482,2.449565668266831,0,0
0.252,7.861441200416203,2.47809151684253,0,0
0.255,7.862881838906647,2.506582146759849,0,0
0.258,7.863896808459256,2.535037152358022,0,0
0.261,7.864212354416861,2.56345612914075,0,0
0.264,7.863555972351094,2.591838673127783,0,0
0.267,7.861683274201422,2.620184380947504,0,0
0.27,7.858448039792,2.648492850074626,0,0
0.273,7.853575363590896,2.67676367807016,0,0
0.276,7.846860634856079,2.704996463252376,0,0
0.279,7.8381173618584,2.733190804523769,0,0
0.282,7.827177989543262,2.761346301340246,0,0
0.285,7.813865497604969,2.789462552878116,0,0
0.288,7.798067646615896,2.817539160019234,0,0
0.291,7.779682536091596,2.845575723803062,0,0
0.294,7.758635795236368,2.873571845845384,0,0
0.297,7.73488271759944,2.901527128343657,0,0
0.3,7.708304402404189,2.929441173707614,0,0
0.303,7.678917012555697,2.95731358529692,0,0
0.306,7.646750884300406,2.985143966991564,0,0
0.309,7.611855389707053,3.012931923206847,0,0
0.312,7.574312045614297,3.040677058937539,0,0
0.315,7.5341943516284,3.068378979881849,0,0
0.318,7.491530453138991,3.096037292557183,0,0
0.321,7.446526784016974,3.12365160365941,0,0
0.324,7.399358176400803,3.151221520678817,0,0
0.327,7.350229937946262,3.178746651727714,0,0
0.33,7.299311746387298,3.206226605631469,0,0
0.333,7.246676631424853,3.233660992013032,0,0
0.336,7.19264719974989,3.26104942085508,0,0
0.339,7.137472100489404,3.28839150292127,0,0
0.342,7.081418295665362,3.315686849644131,0,0
0.345,7.024758263144752,3.342935073119906,0,0
0.348,6.967631823865029,3.370135785981253,0,0
0.351,6.910387590063513,3.397288601737183,0,0
0.354,6.853307395184338,3.424393134511914,0,0
0.357,6.796678791336564,3.451448999122802,0,0
0.36,6.740744882170882,3.478455811028685,0,0
0.363,6.685695695176021,3.505413186327266,0,0
0.366,6.631829603372194,3.532320741953268,0,0
0.369,6.579387664828571,3.559178095490424,0,0
0.372,6.528599341669042,3.585984865233019,0,0
