"time","J1_w","J2_w","J3_w","J4_w"
0.519,0.1421018893848062,0.2021018893848062,0.2460029391344724,0
0.522,0.1364810556062848,0.1964810556062848,0.240382105355951,0
0.525,0.130106815708798,0.1901068157087979,0.2340078654584641,0
0.528,0.1230357478969325,0.1830357478969325,0.2269367976465987,0
0.531,0.1153306154691746,0.1753306154691746,0.2192316652188407,0
0.534,0.1070598097264289,0.1670598097264289,0.2109608594760951,0
0.537,0.09829674292599028,0.1582967429259903,0.2021977926756565,0
0.54,0.08911919666915044,0.1491191966691504,0.1930202464188166,0
0.543,0.0796086315061989,0.1396086315061989,0.1835096812558651,0
0.546,0.0698494638868114,0.1298494638868114,0.1737505136364776,0
0.549,0.05992831687366662,0.1199283168736666,0.1638293666233328,0
0.552,0.0499332512700093,0.1099332512700093,0.1538343010196755,0
0.555,0.03995298398572658,0.09995298398572658,0.1438540337353928,0
0.5580000000000001,0.03007610057977519,0.09007610057977519,0.1339771503294414,0
0.5610000000000001,0.02039026896848889,0.08039026896848889,0.1242913187181551,0
0.5640000000000001,0.01098146127894661,0.07098146127894661,0.1148825110286128,0
0.5670000000000001,0.001933190754286419,0.06193319075428642,0.1058342405039526,0
0.5700000000000001,-0.00667422951575302,0.05332577048424698,0.09722682023391316,0
0.5730000000000001,-0.0147643994595025,0.0452356005404975,0.08913665029016368,0
0.5760000000000001,-0.02226551015580708,0.03773448984419291,0.08163553959385909,0
0.579,-0.02911098121509372,0.03088901878490628,0.07479006853457246,0
0.582,-0.03524005175162351,0.02475994824837648,0.06866099799804266,0
0.585,-0.0405983197014135,0.0194016802985865,0.06330273004825268,0
0.588,-0.045138224698809,0.014861775301191,0.05876282505085718,0
0.591,-0.0488194702256558,0.01118052977434419,0.05508157952401038,0
0.594,-0.0516093812860481,0.008390618713951893,0.05229166846361807,0
0.597,-0.05348319443190538,0.006516805568094614,0.05041785531776079,0
0.6,-0.05442427756509055,0.005575722434909447,0.04947677218457563,0
0.603,-0.05442427756509056,0.00557572243490944,0.04947677218457562,0
0.606,-0.05348319443190545,0.006516805568094551,0.05041785531776073,0
0.609,-0.05160938128604822,0.008390618713951782,0.05229166846361796,0
0.612,-0.04881947022565593,0.01118052977434407,0.05508157952401025,0
0.615,-0.04513822469880917,0.01486177530119082,0.058762825050857,0
0.618,-0.04059831970141372,0.01940168029858628,0.06330273004825246,0
0.621,-0.03524005175162375,0.02475994824837625,0.06866099799804243,0
0.624,-0.02911098121509397,0.03088901878490603,0.07479006853457221,0
0.627,-0.02226551015580708,0.03773448984419291,0.08163553959385909,0
0.63,-0.01476439945950248,0.04523560054049752,0.0891366502901637,0
0.633,-0.006674229515752993,0.05332577048424701,0.09722682023391319,0
0.636,0.001933190754286447,0.06193319075428644,0.1058342405039526,0
0.639,0.01098146127894664,0.07098146127894664,0.1148825110286128,0
0.642,0.02039026896848892,0.08039026896848891,0.1242913187181551,0
0.645,0.03007610057977522,0.09007610057977522,0.1339771503294414,0
0.648,0.03995298398572661,0.09995298398572661,0.1438540337353928,0
0.651,0.04993325127000933,0.1099332512700093,0.1538343010196755,0
0.654,0.05992831687366665,0.1199283168736666,0.1638293666233328,0
0.657,0.06984946388681143,0.1298494638868114,0.1737505136364776,0
0.66,0.0796086315061989,0.1396086315061989,0.1835096812558651,0
0.663,0.08911919666915044,0.1491191966691504,0.1930202464188166,0
0.666,0.09829674292599025,0.1582967429259902,0.2021977926756564,0
0.669,0.1070598097264289,0.1670598097264289,0.2109608594760951,0
0.672,0.1153306154691745,0.1753306154691745,0.2192316652188407,0
0.675,0.1230357478969324,0.1830357478969324,0.2269367976465986,0
0.678,0.1301068157087979,0.1901068157087979,0.2340078654584641,0
0.681,0.1364810556062848,0.1964810556062848,0.240382105355951,0
0.6840000000000001,0.1421018893848061,0.2021018893848061,0.2460029391344723,0
0.6870000000000001,0.1469194261258232,0.2069194261258232,0.2508204758754894,0
0.6900000000000001,0.150890905032171,0.210890905032171,0.2547919547818372,0
0.6930000000000001,0.1539810749759205,0.2139810749759204,0.2578821247255866,0
0.6960000000000001,0.1561625073898859,0.2161625073898858,0.260063557139552,0
0.6990000000000001,0.1574158397255289,0.2174158397255289,0.2613168894751951,0
