"time","J1_w","J2_w","J3_w","J4_w"
0,10,0,0,0
0.003,9.969999999999999,0.03,0,0
0.003,9.969999999999999,0.03,0,0
0.006,9.942823462582759,0.05999978681679742,0,0
0.009000000000000001,9.91844575475011,0.08999893408701692,0,0
0.012,9.896817406561929,0.1199970154563725,0,0
0.015,9.877864554013117,0.149993604585727,0,0
0.018,9.861489598433879,0.1799882751571513,0,0
0.021,9.847572076560416,0.2099806008799831,0,0
0.024,9.835969733553101,0.2399701554968859,0,0
0.027,9.826519789437942,0.2699565127899064,0,0
0.03,9.819040387730229,0.2999392465865326,0,0
0.033,9.81333221338226,0.3299179307657503,0,0
0.036,9.80918026569403,0.3598921392640993,0,0
0.039,9.806355770450383,0.3898614460817287,0,0
0.042,9.804618214312285,0.4198254252884516,0,0
0.045,9.803717483404798,0.4497836510297979,0,0
0.048,9.803396087119383,0.4797356975330672,0,0
0.051,9.803391447391919,0.5096811391133795,0,0
0.054,9.803438233136545,0.5396195501797257,0,0
0.057,9.803270719114689,0.5695505052410158,0,0
0.06,9.80262514830174,0.5994735789121258,0,0
0.063,9.801242076782776,0.6293883459199443,0,0
0.066,9.798868680363825,0.6592943811094154,0,0
0.06900000000000001,9.795261002424976,0.6891912594495819,0,0
0.07200000000000001,9.790186123063169,0.7190785560396257,0,0
0.075,9.78342423027116,0.7489558461149064,0,0
0.078,9.774770574768665,0.7788227050529988,0,0
0.081,9.764037291134397,0.8086787083797268,0,0
0.08400000000000001,9.751055069074491,0.8385234317751967,0,0
0.08700000000000001,9.735674659992911,0.8683564510798276,0,0
0.09,9.717768205491403,0.8981773423003796,0,0
0.093,9.697230376007049,0.9279856816159798,0,0
0.096,9.67397930948078,0.9577810453841458,0,0
0.099,9.64795734172505,0.9875630101468059,0,0
0.102,9.619131522007882,1.017331152636318,0,0
0.105,9.587493909276834,1.047085049781487,0,0
0.108,9.553061646393541,1.076824278713572,0,0
0.111,9.515876811719863,1.106548416772303,0,0
0.114,9.476006049372925,1.136257041511884,0,0
0.117,9.433539981430862,1.165949730706996,0,0
0.12,9.388592407306545,1.195626062358801,0,0
0.123,9.341299297395633,1.225285614700939,0,0
0.126,9.291817589931345,1.254927966205517,0,0
0.129,9.240323801725111,1.28455269558911,0,0
0.132,9.187012465124214,1.314159381818736,0,0
0.135,9.132094405060039,1.34374760411785,0,0
0.138,9.075794871479918,1.37331694197232,0,0
0.141,9.018351543739188,1.402866975136403,0,0
0.144,8.960012424666564,1.432397283638718,0,0
0.147,8.901033642995205,1.461907447788216,0,0
0.15,8.841677183665185,1.491397048180144,0,0
0.153,8.782208566143325,1.520865665702005,0,0
0.156,8.722894491367724,1.550312881539514,0,0
0.159,8.664000478202823,1.579738277182554,0,0
0.162,8.605788510383951,1.609141434431118,0,0
0.165,8.548514714837163,1.638521935401259,0,0
0.168,8.492427091981748,1.667879362531023,0,0
0.171,8.437763318161322,1.697213298586389,0,0
0.174,8.384748639709247,1.726523326667193,0,0
0.177,8.333593877340737,1.755809030213059,0,0
0.18,8.284493558584771,1.785069993009317,0,0
0.183,8.237624194832399,1.814305799192914,0,0
0.186,8.193142718294471,1.843516033258332,0,0
0.189,8.151185092742363,1.872700280063487,0,0
0.192,8.111865110362858,1.901858124835633,0,0
0.195,8.075273385406291,1.930989153177255,0,0
0.198,8.041476553560381,1.960092951071959,0,0
0.201,8.010516684156105,1.989169104890354,0,0
0.204,7.982410910422869,2.018217201395935,0,0
0.207,7.957151281074781,2.047236827750952,0,0
0.21,7.93470483454535,2.076227571522279,0,0
0.213,7.915013895211601,2.105189020687277,0,0
0.216,7.897996588978273,2.134120763639647,0,0
0.219,7.883547573645691,2.163022389195281,0,0
0.222,7.871538977578432,2.191893486598105,0,0
0.225,7.861821538343078,2.220733645525919,0,0
0.228,7.854225931208366,2.249542456096227,0,0
0.231,7.848564275715804,2.278319508872063,0,0
0.234,7.844631806948296,2.307064394867808,0,0
